state,wave_id,onset_week,peak_week,end_week,wave_end_censored,wave_order,is_recurrence,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,candidate_wave,major_epidemic_primary,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,wave_definition_stable,major_wave_definition_stable,reason_not_major,reason_re6_not_eligible,Re_early_4_q025,Re_early_4_median,Re_early_4_q975,re4_fit_status,re4_fit_reason,re4_fit_pass,re4_divergences,re4_treedepth_hits,re4_rhat,re4_bulk_ess,re4_tail_ess,re4_min_bfmi,re4_bfmi_by_chain,re4_elapsed_seconds,re4_ppc_mean_abs_error,re4_ppc_all_weeks_95_coverage,Re_early_6_q025,Re_early_6_median,Re_early_6_q975,re6_fit_status,re6_fit_reason,re6_fit_pass,re6_divergences,re6_treedepth_hits,re6_rhat,re6_bulk_ess,re6_tail_ess,re6_min_bfmi,re6_bfmi_by_chain,re6_elapsed_seconds,re6_ppc_mean_abs_error,re6_ppc_all_weeks_95_coverage,Re_early_8_q025,Re_early_8_median,Re_early_8_q975,re8_fit_status,re8_fit_reason,re8_fit_pass,re8_divergences,re8_treedepth_hits,re8_rhat,re8_bulk_ess,re8_tail_ess,re8_min_bfmi,re8_bfmi_by_chain,re8_elapsed_seconds,re8_ppc_mean_abs_error,re8_ppc_all_weeks_95_coverage,weeks_since_previous_wave,previous_wave_total_cases,preceding_trough_ratio,re6_analysis_usable,calendar_year
AM,AM_wave_15,2022-08-28,2023-04-02,2024-05-26,FALSE,1,FALSE,0.330144219,0.227956722,14,2022-08-21,0,0,42,92,31,217,5.11707319,4,7,7,2,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,fewer than 30 raw cases,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,2022
AP,AP_wave_02,2016-02-07,2016-10-02,2017-01-15,FALSE,1,FALSE,1.585313654,1.365131202,12,2016-01-03,0,0,5,50,34,183,24.16563266,3,3,4,2,2,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,too few nonzero raw incidence weeks; fewer than 30 raw cases,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,2016
AP,AP_wave_03,2017-01-29,2017-05-28,2017-11-19,FALSE,2,TRUE,1.436860434,1.262695533,11,2017-01-15,0.087082451,0.068965517,11,43,17,200,26.12473516,11,20,32,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,fewer than 30 raw cases,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,183,0.068965517,FALSE,2017
AP,AP_wave_04,2017-11-26,2018-04-15,2019-01-13,FALSE,3,TRUE,1.294022651,1.207754474,10,2017-11-19,0,0,15,60,20,181,23.43291445,6,10,15,3,4,6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,fewer than 30 raw cases,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,200,0,FALSE,2017
AP,AP_wave_17,2023-09-10,2024-02-25,2024-06-30,FALSE,4,TRUE,3.3630737,2.698762846,27,2023-07-09,0,0,6,43,24,217,27.04361638,8,9,12,4,5,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,fewer than 30 raw cases,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted,frozen census pre-fit eligibility is FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1701,181,0,FALSE,2023
BA,BA_wave_02,2016-01-24,2016-03-06,2016-08-28,FALSE,1,FALSE,3.462499955,3.584111948,503,2015-08-23,0.018428364,0.195121951,3,32,6,5863,40.35911976,278,937,1975,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,1.5203232186642521,2.2144369374520414,3.3812119067687094,fitted,NA,TRUE,0,0,0.9998700346869416,14098.171428772195,5503.806553118575,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,11.655312500000003,1,1.9046696074161817,2.6680929501253607,3.877725191464171,fitted,NA,TRUE,0,0,0.9997370334293247,13559.749451141985,5567.954821273223,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,65.58752083333333,1,1.887800574062263,2.5555423112923146,3.5742428855008477,fitted,NA,TRUE,0,0,0.9997405463379097,16145.444827192749,5399.500970832722,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,100.31240625000001,1,NA,NA,0.195121951,TRUE,2016
BA,BA_wave_03,2016-10-16,2017-01-22,2017-10-22,FALSE,2,TRUE,2.414482726,2.553955686,352,2016-08-28,0.105550032,0.041328059,27,54,14,6655,45.66039064,146,217,280,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,0.8606880616715952,1.2762211272069552,1.9650406574298478,fitted,NA,TRUE,0,0,0.9998789255936645,15117.38927591863,5368.362909090356,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,2.6838750000000013,1,0.8080042933447998,1.1734559394706694,1.784439942802693,fitted,NA,TRUE,0,0,0.999796629919751,14584.352837500166,4947.213576654968,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,4.934854166666667,1,0.7935872584574014,1.0966729345121875,1.5634476443145813,fitted,NA,TRUE,0,0,0.999576277596165,16002.706586548366,5538.997855076953,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,5.910453125,1,49,5863,0.041328059,TRUE,2016
BA,BA_wave_04,2017-11-12,2018-05-27,2018-12-16,FALSE,3,TRUE,1.025104677,1.141283207,150,2017-10-22,0.03429663,0.030050937,28,58,28,3383,23.12276521,73,93,128,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,1.1623308749484538,1.7994658217312074,2.8689192015694402,fitted,NA,TRUE,0,0,0.9997116484698422,15103.630232588457,4913.229481243304,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,5.846531249999999,1,0.9280394745589229,1.3694102602910896,2.0743371489087474,fitted,NA,TRUE,0,0,0.9999001384215577,16602.287013519537,5656.978629823805,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,10.460604166666666,1,0.9797538170198727,1.3958629531906355,2.018273781903564,fitted,NA,TRUE,0,0,0.99975965569165,16107.436212968165,5690.559977890901,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,10.31659375,1,21,6655,0.030050937,TRUE,2017
BA,BA_wave_05,2019-02-03,2019-05-26,2019-12-15,FALSE,4,TRUE,2.456910486,2.549923718,361,2018-12-16,0.029614135,0.025948104,31,46,16,5711,38.86818777,101,138,197,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,0.8170954660299443,1.2177253386388638,1.8770549093815685,fitted,NA,TRUE,0,0,0.9998406955977268,14064.743133880476,5611.836166774568,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,5.1647187500000005,1,0.7318522067965211,1.0722555596883585,1.6286951722682403,fitted,NA,TRUE,0,0,0.9997078601999524,15655.806240062393,5289.650643107097,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,6.4115625,1,0.8311910728571426,1.1650761300070265,1.6814668134477841,fitted,NA,TRUE,0,0,0.9996513998593554,17437.895471060816,5977.32472392739,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,7.667296875,1,49,3383,0.025948104,TRUE,2019
BA,BA_wave_06,2020-01-19,2020-05-17,2020-12-20,FALSE,5,TRUE,7.994005648,8.079889792,1179,2019-12-15,0.308531695,0.120996441,21,49,17,18760,127.1989364,594,1000,1635,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,1.0662564812901894,1.5512239454231178,2.356266395317705,fitted,NA,TRUE,0,0,0.9998342152639452,14838.25719863196,5560.641300706447,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,16.947718749999996,1,1.0379580909196708,1.4596206768999673,2.1244308749921457,fitted,NA,TRUE,0,0,0.9998585253677724,15545.063923166696,5496.509313135037,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,20.699916666666663,1,1.097686689734885,1.4983377401906828,2.1051624450650883,fitted,NA,TRUE,0,0,1.0000552470967952,14903.246770219059,4697.565179645447,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,21.593484375,1,35,5711,0.120996441,TRUE,2020
BA,BA_wave_07,2021-01-03,2021-03-14,2021-10-24,FALSE,6,TRUE,5.612556438,5.224861777,830,2020-12-20,0.103965016,0.019898137,25,43,10,9546,64.55116116,544,1096,1790,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,2.286240974640632,3.3365730432339777,5.083508980435567,fitted,NA,TRUE,0,0,0.9997580180889083,15278.519680853722,5287.31254719974,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,82.3346875,1,1.996569018758673,2.8219228702929304,4.115175892497589,fitted,NA,TRUE,0,0,0.9996863166767208,18119.561317299453,4801.088703948501,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,99.23660416666667,1,1.835896405045002,2.49390515929435,3.494252826698245,fitted,NA,TRUE,0,0,0.9998309822698552,15163.035165400464,5182.79932120912,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,124.15329687499998,1,14,18760,0.019898137,TRUE,2021
BA,BA_wave_08,2021-12-05,2022-03-06,2022-10-02,FALSE,7,TRUE,6.839354632,6.107933028,1013,2021-10-24,0.085653472,0.016393443,31,44,13,13897,93.8309236,395,852,1589,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,1.2826573324090418,1.869237604501242,2.8143014198600538,fitted,NA,TRUE,0,0,0.9997508128962638,15106.254856927837,5734.332349037855,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,43.1183125,1,1.3806884022790014,1.9509810772173637,2.8416752801552843,fitted,NA,TRUE,0,0,0.9996665804110851,14989.287850199,5374.574296929655,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,41.336708333333334,1,1.440267479457845,1.94753084347869,2.7214015057087377,fitted,NA,TRUE,0,0,0.9998774815256863,14144.197866325272,5181.733085566959,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,50.50990625000001,1,42,9546,0.016393443,TRUE,2021
BA,BA_wave_09,2022-11-06,2023-05-07,2023-12-24,FALSE,8,TRUE,2.926735976,3.003163797,434,2022-10-02,0.168789601,0.056203928,23,60,26,12629,85.17289047,322,703,952,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,1.2111818957778793,1.7486471105048853,2.6409982118497077,fitted,NA,TRUE,0,0,0.9999749110543058,14679.00388201871,5782.300998408096,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,13.721187500000003,1,1.3062062337117826,1.8480614056425166,2.7519658300357652,fitted,NA,TRUE,0,0,0.9999528557356193,14937.546435370901,5820.010465146167,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,16.13327083333333,1,1.1716436476602334,1.5849458565545673,2.202168956152505,fitted,NA,TRUE,0,0,0.9997821181474996,14591.080301425684,5319.3021464903495,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,53.433765625,1,35,13897,0.056203928,TRUE,2022
BA,BA_wave_10,2024-01-21,2024-03-10,2025-12-28,FALSE,9,TRUE,9.669699626,9.431772941,1436,2023-12-24,0.141616257,0.047155689,28,102,7,14855,100.0154851,738,2282,4985,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,1.5169471553235083,2.192799974417948,3.2919576281260037,fitted,NA,TRUE,0,0,0.9997283606358486,14480.118131603487,5357.328652221211,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,33.360937500000006,1,1.8269166620810087,2.536639210128031,3.658050871406114,fitted,NA,TRUE,0,0,0.9997563403382252,15115.25479289589,4992.9992566636265,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,82.81504166666667,1,1.8142508009218286,2.445062176922194,3.4062525988033845,fitted,NA,TRUE,0,0,0.9996122327874805,15320.771155928876,5544.512900436058,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,132.149984375,1,28,12629,0.047155689,TRUE,2024
CE,CE_wave_02,2016-03-13,2016-05-29,2016-12-18,FALSE,1,FALSE,25.19959636,23.58048097,2236,2015-06-28,0,0,25,41,11,30516,343.9136326,882,2045,4676,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,1.5409735105879954,2.1913598268442445,3.272079027139675,fitted,NA,TRUE,0,0,0.9999705377920703,15562.997348363982,5364.699593506333,0.885356143023285,0.889;0.911;0.885;0.892,29.5081729888916,23.226562500000004,1,1.57442714971276,2.2070065834740946,3.1913516286055064,fitted,NA,TRUE,0,0,0.9997476391135013,16808.122282085536,4765.144157888348,0.8867031217856218,0.908;0.887;0.948;0.922,36.513922929763794,17.226875,1,1.672319109682878,2.28062126518745,3.227527242588666,fitted,NA,TRUE,0,0,0.999914351892695,15919.938271811881,5527.98417965195,0.9214193124817865,0.943;0.949;0.921;0.937,42.66113805770874,42.25934375000001,1,NA,NA,0,TRUE,2016
