current_path,file_type,scientific_pipeline,scientific_stage,artifact_class,producer_script,consumer_scripts,current_or_legacy,proposed_path,action,notes
"02_Script/stan/renewal_bahia_v4_9_global_q_multisite_serology.rds","R data (.rds)","multistate","transmission_fitting","table","","03_bahia_pipeline/02_transmission_fitting/04_fit_bahia_global_q_multisite.R;04_pernambuco_pipeline/.../02_fit_pe_global_q.R;05_rio_de_janeiro_pipeline/.../01-04_fit_rj_*.R;06_mato_grosso_pipeline/.../01-03_fit_mt_*.R","current","02_Script/00_shared/stan/current/multistate/renewal_bahia_v4_9_global_q_multisite_serology.rds","moved",""
"02_Script/stan/renewal_bahia_v4_9_global_q_multisite_serology.stan","Stan source","multistate","transmission_fitting","source_Stan","","03_bahia_pipeline/02_transmission_fitting/04_fit_bahia_global_q_multisite.R;04_pernambuco_pipeline/.../02_fit_pe_global_q.R;05_rio_de_janeiro_pipeline/.../01-04_fit_rj_*.R;06_mato_grosso_pipeline/.../01-03_fit_mt_*.R","current","02_Script/00_shared/stan/current/multistate/renewal_bahia_v4_9_global_q_multisite_serology.stan","moved","See MODEL_REGISTRY.md for full status/consumer detail"
"02_Script/stan/renewal_ceara_episode_re.rds","R data (.rds)","07_national_pipeline","episode_renewal / major_episode_renewal","fitted_model","","01_episode_renewal/*.R;02_major_episode_renewal/*.R;06_national_wave_analysis/01_fit_brazil_major_wave_early_re.R;08_first_epidemic_climate_transmission/02_build_first_episode_weekly_re.R","current","03_Output/07_national_pipeline/model_fits/episode_renewal/renewal_ceara_episode_re.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_episode_re.stan","Stan source","07_national_pipeline","episode_renewal / major_episode_renewal","source_Stan","","01_episode_renewal/*.R;02_major_episode_renewal/*.R;06_national_wave_analysis/01_fit_brazil_major_wave_early_re.R;08_first_epidemic_climate_transmission/02_build_first_episode_weekly_re.R","current","02_Script/00_shared/stan/current/national/renewal_ceara_episode_re.stan","moved","See MODEL_REGISTRY.md for full status/consumer detail"
"02_Script/stan/renewal_ceara_episode_re_fit.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/episode_renewal/renewal_ceara_episode_re_fit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_major_episode_re6_fit.rds","R data (.rds)","07_national_pipeline","","fitted_model","","","current","03_Output/07_national_pipeline/model_fits/major_episode_renewal/renewal_ceara_major_episode_re6_fit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v1.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v1/renewal_ceara_v1.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v1.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v1.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v2.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2/renewal_ceara_v2.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v2.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v2_1.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v2_1.rds","moved",""
"02_Script/stan/renewal_ceara_v2_1.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v2_1.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v2_1_fit.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2_1/renewal_ceara_v2_1_fit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_1_fit_smoke.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2_1/renewal_ceara_v2_1_fit_smoke.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_1_full_period_fit.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2_1/renewal_ceara_v2_1_full_period_fit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_2.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v2_2.rds","moved",""
"02_Script/stan/renewal_ceara_v2_2.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v2_2.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v2_2_fit.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2_2/renewal_ceara_v2_2_fit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_2_fit_smoke.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2_2/renewal_ceara_v2_2_fit_smoke.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_2_full_stress_fit.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2_2/renewal_ceara_v2_2_full_stress_fit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_3_state.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2_3/renewal_ceara_v2_3_state.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_3_state.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v2_3_state.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v2_3_state_fit.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2_3/renewal_ceara_v2_3_state_fit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_fit.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2/renewal_ceara_v2_fit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_fit_smoke.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2/renewal_ceara_v2_fit_smoke.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_fit_smoke_hazard.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2/renewal_ceara_v2_fit_smoke_hazard.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v2_fit_smoke_reparam.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v2/renewal_ceara_v2_fit_smoke_reparam.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v3_0_spatial.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v3_0/renewal_ceara_v3_0_spatial.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v3_0_spatial.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v3_0_spatial.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v3_0_spatial_data_all_ceara.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v3_0/renewal_ceara_v3_0_spatial_data_all_ceara.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v3_0_spatial_debug_pilot.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v3_0/renewal_ceara_v3_0_spatial_debug_pilot.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v3_1_minimal_spatial.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v3_1/renewal_ceara_v3_1_minimal_spatial.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v3_1_minimal_spatial.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v3_1_minimal_spatial.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v3_1_minimal_spatial_data.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v3_1/renewal_ceara_v3_1_minimal_spatial_data.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v3_1_minimal_spatial_pilot.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v3_1/renewal_ceara_v3_1_minimal_spatial_pilot.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v3_2_coarse_regional.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v3_2/renewal_ceara_v3_2_coarse_regional.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v3_2_coarse_regional.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v3_2_coarse_regional.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v3_2_coarse_regional_data.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v3_2/renewal_ceara_v3_2_coarse_regional_data.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v3_2_coarse_regional_pilot.rds","R data (.rds)","90_development_archive","","fitted_model","","","legacy","03_Output/90_development_archive/model_fits/renewal_v3_2/renewal_ceara_v3_2_coarse_regional_pilot.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v4_0_minimal_no_vaccine.rds","R data (.rds)","02_ceara_pipeline","initialization","fitted_model","","00_shared/legacy_model_functions/17_v4_0_minimal_no_vaccine/*.R (sourced by every state Stage 02)","current","03_Output/02_ceara_pipeline/model_fits/initialization/renewal_ceara_v4_0_minimal_no_vaccine.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v4_0_minimal_no_vaccine.stan","Stan source","02_ceara_pipeline","initialization","source_Stan","","00_shared/legacy_model_functions/17_v4_0_minimal_no_vaccine/*.R (sourced by every state Stage 02)","current","02_Script/00_shared/stan/current/initialization/renewal_ceara_v4_0_minimal_no_vaccine.stan","moved","See MODEL_REGISTRY.md for full status/consumer detail"
"02_Script/stan/renewal_ceara_v4_0_minimal_no_vaccine_fit.rds","R data (.rds)","02_ceara_pipeline","","fitted_model","","","current","03_Output/02_ceara_pipeline/model_fits/initialization/renewal_ceara_v4_0_minimal_no_vaccine_fit.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v4_0_minimal_no_vaccine_fit_td14.rds","R data (.rds)","02_ceara_pipeline","","fitted_model","","","current","03_Output/02_ceara_pipeline/model_fits/initialization/renewal_ceara_v4_0_minimal_no_vaccine_fit_td14.rds","moved","Classified by producer script + file size (>5MB => genuine posterior fit, not an auto_write compiled-model cache)"
"02_Script/stan/renewal_ceara_v4_1_minimal_no_vaccine.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v4_1_minimal_no_vaccine.rds","moved",""
"02_Script/stan/renewal_ceara_v4_1_minimal_no_vaccine.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v4_1_minimal_no_vaccine.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v4_1_modular_q.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v4_1_modular_q.rds","moved",""
"02_Script/stan/renewal_ceara_v4_1_modular_q.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v4_1_modular_q.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v4_1_q_only.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v4_1_q_only.rds","moved",""
"02_Script/stan/renewal_ceara_v4_1_q_only.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v4_1_q_only.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v4_2_q_juazeiro_serology.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v4_2_q_juazeiro_serology.rds","moved",""
"02_Script/stan/renewal_ceara_v4_2_q_juazeiro_serology.stan","Stan source","90_development_archive","","source_Stan","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v4_2_q_juazeiro_serology.stan","moved","No live pipeline references this file; see MODEL_REGISTRY.md"
"02_Script/stan/renewal_ceara_v4_2_q_juazeiro_serology_binomial.rds","R data (.rds)","90_development_archive","","legacy","","","legacy","02_Script/90_development_archive/08_old_stan_models/renewal_ceara_v4_2_q_juazeiro_serology_binomial.rds","moved",""
